Title,Subtitle,Year,Mileage,Fuel Type,Price,Monthly Price,Details Link,Location
BMW X5,xDrive50e M Sportpakket Pro | Travel Pack | Innovation Pack | Comfort Pack | Adaptief onderstel met luchtvering op voor- en achteras | Trekhaak | Panoramadak | Driving Assistant Professional | Parking Assistant Professional | Harman Kardon | 21'',2024,10.780 km,Hybride benzine,"105.950,-","1.443,-",https://www.ekris.nl/bmw/p/43959192/bmw-x5-xdrive50e-43959192,Ekris Utrecht
BMW X5,xDrive50e M Sportpakket Pro 22'' / Panoramadak / Driving Assistant Professional / Harman Kardon / Warmte Comfortpakket voor,2024,34.312 km,Hybride benzine,"106.950,-","1.456,-",https://www.ekris.nl/bmw/p/46342938/bmw-x5-xdrive50e-46342938,Ekris Veenendaal
BMW iX,xDrive40 | High Executive | Sport Edition | BMW Personal CoPilot Pack | Sportpakket,2025,5 km,Elektrisch,"107.004,-","1.209,-",https://www.ekris.nl/bmw/p/43850107/bmw-ix-xdrive40-43850107,Ekris Arnhem
BMW iX,xDrive40 | High Executive | Sport Edition | BMW Personal CoPilot Pack | Sport Package,2025,5 km,Elektrisch,"107.323,-","1.213,-",https://www.ekris.nl/bmw/p/42482652/bmw-ix-xdrive40-42482652,Ekris Zeist
BMW 5 Serie,550e xDrive Sedan Individual Lak | M Sportpakket Pro | Comfort Pack | Travel Pack,2025,5 km,Hybride benzine,"107.496,-","1.415,-",https://www.ekris.nl/bmw/p/45876463/bmw-5-serie-550e-xdrive-sedan-45876463,Ekris Utrecht
BMW XM,23 '' / Bowers & Wilkins / M Driver's Pack / Soft Close / Trekhaak,2023,67.500 km,Hybride benzine,"107.900,-","1.469,-",https://www.ekris.nl/bmw/p/45603304/bmw-xm-45603304,Ekris Veenendaal
BMW X7,xDrive40i | M-Sportpakket | LED | Leder | HUD | Schuifdak | trekhaak | Active cruise | DAB | Harman-kardon sound | Alu 22 inch,2023,64.000 km,Benzine,"107.900,-","1.469,-",https://www.ekris.nl/bmw/p/46920973/bmw-x7-xdrive40i-46920973,Ekris Heerenveen
BMW X5,xDrive50e | M-Sportpakket | LED | Leder | HUD | Schuifdak | Trekhaak | Active cruise | DAB | harman-kardon sound | Alu 22 inch,2025,7.000 km,Hybride benzine,"107.900,-","1.420,-",https://www.ekris.nl/bmw/p/47159064/bmw-x5-xdrive50e-47159064,Ekris Heerenveen
BMW X5,xDrive50e M Sportpakket Pro | Travel Pack | Innovation Pack | Comfort Plus Pack | Trekhaak| Comfort Access | Soft Close | Panoramadak | Driving Assistant Professional | Harman Kardon | 22'',2024,19.784 km,Hybride benzine,"107.950,-","1.470,-",https://www.ekris.nl/bmw/p/46718623/bmw-x5-xdrive50e-46718623,Ekris Utrecht
BMW 2 Serie,Coupé M240i xDrive | M Sportpakket Pro | Premium Pack,2025,5 km,Benzine,"108.002,-","1.422,-",https://www.ekris.nl/bmw/p/41843737/bmw-2-serie-coupe-41843737,Ekris Utrecht
