Vehicle Name,Vehicle Subtitle,Vehicle Price,Vehicle Tags,Business Finance,Location
BMW 5 Serie Touring,530e,€ 67.900 v.a. € 698 p/m,2025 13.572 km Automaat Hybride,v.a. € 698 p/m,Van Poelgeest Naarden - PS Center
BMW iX1,eDrive20 67 kWh,€ 63.900 v.a. € 564 p/m,2025 4.000 km Automaat Elektrisch,v.a. € 564 p/m,Van Poelgeest Naarden - PS Center
BMW iX2,eDrive20,€ 48.900 v.a. € 432 p/m,2024 10.172 km Automaat Elektrisch,v.a. € 432 p/m,Van Poelgeest Amsterdam
BMW i5 Touring,M60 xDrive 84 kWh,€ 84.900 v.a. € 750 p/m,2024 29.846 km Automaat Elektrisch,v.a. € 750 p/m,Van Poelgeest Hilversum
BMW iX1,eDrive20 67 kWh,€ 49.900 v.a. € 440 p/m,2025 5.070 km Automaat Elektrisch,v.a. € 440 p/m,Van Poelgeest Amstelveen
BMW i4,eDrive40 M Sport Edition,€ 72.412 v.a. € 640 p/m,2025 1 km Automaat Elektrisch,v.a. € 640 p/m,Van Poelgeest Woerden
BMW 5 Serie Touring,530e M Sport Edition,€ 88.668 v.a. € 847 p/m,2025 1 km Automaat Hybride,v.a. € 847 p/m,Van Poelgeest Amersfoort
BMW 1 Serie,118i Business Edition Executive Model M Sport,€ 28.895 v.a. € 297 p/m,2021 68.582 km Automaat Benzine,v.a. € 297 p/m,Van Poelgeest Alphen aan den Rijn
BMW X1,xDrive25e,€ 64.691 v.a. € 664 p/m,2025 500 km Automaat Hybride,v.a. € 664 p/m,Van Poelgeest Amstelveen
MINI Cooper 5-deurs,C John Cooper Works Pakket M,€ 44.895 v.a. € 461 p/m,2025 4.050 km Automaat Benzine,v.a. € 461 p/m,Van Poelgeest Woerden
MINI Countryman Electric,E John Cooper Works L,€ 57.257 v.a. € 588 p/m,2025 2.632 km Automaat Elektrisch,v.a. € 588 p/m,Van Poelgeest Amstelveen
BMW i4,M60 xDrive,€ 98.283 v.a. € 868 p/m,2025 1 km Automaat Elektrisch,v.a. € 868 p/m,Van Poelgeest Hilversum
BMW X1,xDrive25e,€ 64.779 v.a. € 665 p/m,2025 2.688 km Automaat Hybride,v.a. € 665 p/m,Van Poelgeest Amstelveen
BMW iX1,eDrive20 67 kWh M Sport Edition,€ 49.984 v.a. € 441 p/m,2025 1 km Automaat Elektrisch,v.a. € 441 p/m,Van Poelgeest Hilversum
MINI Countryman,1.5 C Classic,€ 43.500 v.a. € 446 p/m,2024 13.720 km Automaat Benzine,v.a. € 446 p/m,Van Poelgeest Amstelveen
BMW i5 Touring,eDrive40 M Sport Edition,€ 85.707 v.a. € 757 p/m,2025 1 km Automaat Elektrisch,v.a. € 757 p/m,Van Poelgeest Amsterdam
BMW 3 Serie Sedan,330i xDrive,€ 92.455 v.a. € 950 p/m,2025 4.999 km Automaat Benzine,v.a. € 950 p/m,Van Poelgeest Amsterdam
BMW iX,xDrive40 Business Edition Plus 77 kWh,€ 51.900 v.a. € 459 p/m,2023 29.904 km Automaat Elektrisch,v.a. € 459 p/m,Van Poelgeest Naarden - PS Center
BMW 2 Serie Active Tourer,220i l M-Sport,€ 37.899 v.a. € 389 p/m,2023 28.880 km Automaat Benzine,v.a. € 389 p/m,Van Poelgeest Amsterdam
BMW 5 Serie Touring,530e M Sport Edition,€ 96.223 v.a. € 919 p/m,2025 1 km Automaat Hybride,v.a. € 919 p/m,Van Poelgeest Gouda
BMW X3,30e xDrive,€ 81.312 v.a. € 777 p/m,2025 0 km Automaat Hybride,v.a. € 777 p/m,Van Poelgeest Naarden
BMW i5 Sedan,eDrive40 M Sport Edition,€ 89.438 v.a. € 790 p/m,2025 1 km Automaat Elektrisch,v.a. € 790 p/m,Van Poelgeest Woerden
BMW 1 Serie,123 xDrive,€ 62.429 v.a. € 641 p/m,2025 1 km Automaat Benzine,v.a. € 641 p/m,Van Poelgeest Gouda
BMW X1,xDrive30e,€ 63.900 v.a. € 656 p/m,2025 7.001 km Automaat Hybride,v.a. € 656 p/m,Van Poelgeest Amstelveen
BMW 2 Serie Gran Coupé,218i,€ 36.900 v.a. € 379 p/m,2024 22.743 km Automaat Benzine,v.a. € 379 p/m,Van Poelgeest Naarden - PS Center
BMW 1 Serie,120,€ 41.900 v.a. € 431 p/m,2025 9.999 km Automaat Benzine,v.a. € 431 p/m,Van Poelgeest Amersfoort
BMW 4 Serie Cabrio,420i,€ 90.057 v.a. € 925 p/m,2025 1 km Automaat Benzine,v.a. € 925 p/m,Van Poelgeest Amsterdam
BMW 5 Serie Touring,530e M Sport Edition,€ 90.179 v.a. € 861 p/m,2025 1 km Automaat Hybride,v.a. € 861 p/m,Van Poelgeest Noordwijk
BMW iX1,xDrive30 M-Sport,€ 43.400 v.a. € 464 p/m,2023 40.406 km Automaat Elektrisch,v.a. € 464 p/m,Van Poelgeest Hilversum
BMW 5 Serie Touring,520d,€ 69.900 v.a. € 717 p/m,2024 21.442 km Automaat Diesel,v.a. € 717 p/m,Van Poelgeest Amstelveen
BMW iX1,eDrive20 67 kWh M Sport Edition,€ 49.984 v.a. € 441 p/m,2025 1 km Automaat Elektrisch,v.a. € 441 p/m,Van Poelgeest Amstelveen
MINI Cooper 5-deurs,1.5 Cooper C John Cooper Works,€ 52.955 v.a. € 544 p/m,2025 9.500 km Automaat Benzine,v.a. € 544 p/m,Van Poelgeest Amstelveen
BMW 2 Serie Coupé,220i,€ 71.841 v.a. € 737 p/m,2025 1 km Automaat Benzine,v.a. € 737 p/m,Van Poelgeest Amstelveen
BMW iX1,xDrive30 Launch Edition xLine,€ 39.995 v.a. € 427 p/m,2023 15.628 km Automaat Elektrisch,v.a. € 427 p/m,Van Poelgeest Gouda
BMW 3 Serie Sedan,330e,€ 57.900 v.a. € 594 p/m,2025 9.999 km Automaat Hybride,v.a. € 594 p/m,Van Poelgeest Amersfoort
MINI Cooper 3-deurs Electric,SE John Cooper Works,€ 51.390 v.a. € 527 p/m,2024 26.100 km Automaat Elektrisch,v.a. € 527 p/m,Van Poelgeest Amstelveen
BMW M3 Sedan,xDrive Competition,€ 133.900 v.a. € 1374 p/m,2025 4.441 km Automaat Benzine,v.a. € 1374 p/m,Van Poelgeest Amstelveen
BMW iX2,eDrive20 M Sport Edition,€ 62.109 v.a. € 549 p/m,2025 1 km Automaat Elektrisch,v.a. € 549 p/m,Van Poelgeest Amsterdam
BMW M3,Coupé E36,€ 51.899 v.a. € 645 p/m,1998 62.936 km Automaat Benzine,v.a. € 645 p/m,Van Poelgeest Naarden - PS Center
BMW 2 Serie Gran Coupé,220 M Sport Design Edition,€ 56.041 v.a. € 575 p/m,2025 3.860 km Automaat Benzine,v.a. € 575 p/m,Van Poelgeest Amstelveen
BMW 5 Serie Touring,530e,€ 74.900 v.a. € 769 p/m,2025 13.850 km Automaat Hybride,v.a. € 769 p/m,Van Poelgeest Amstelveen
BMW iX3,,€ 72.838 v.a. € 643 p/m,2025 4.999 km Automaat Elektrisch,v.a. € 643 p/m,Van Poelgeest Amsterdam
BMW iX,xDrive M70,€ 149.590 v.a. € 1321 p/m,2025 1 km Automaat Elektrisch,v.a. € 1321 p/m,Van Poelgeest Amsterdam
BMW 5 Serie Sedan,530e M Sport Edition,€ 87.106 v.a. € 832 p/m,2025 1 km Automaat Hybride,v.a. € 832 p/m,Van Poelgeest Amersfoort
BMW 1 Serie,118i,€ 27.500 v.a. € 283 p/m,2020 84.067 km Automaat Benzine,v.a. € 283 p/m,Van Poelgeest Amersfoort
BMW iX3,High Executive 80 kWh,€ 56.900 v.a. € 502 p/m,2024 21.458 km Automaat Elektrisch,v.a. € 502 p/m,Van Poelgeest Naarden - PS Center
BMW 3 Serie Sedan,330e,€ 52.900 v.a. € 543 p/m,2024 19.607 km Automaat Hybride,v.a. € 543 p/m,Van Poelgeest Amersfoort
BMW X5,xDrive50e Innovation Pack M Sportpakket,€ 102.895 v.a. € 1056 p/m,2025 14.383 km Automaat Hybride,v.a. € 1056 p/m,Van Poelgeest Gouda
BMW X1,xDrive25e,€ 65.531 v.a. € 626 p/m,2025 1 km Automaat Hybride,v.a. € 626 p/m,Van Poelgeest Amstelveen
BMW i5 Sedan,eDrive40 M Sport Edition,€ 91.515 v.a. € 808 p/m,2025 1 km Automaat Elektrisch,v.a. € 808 p/m,Van Poelgeest Hilversum
BMW iX2,eDrive20 M Sport Edition,€ 62.109 v.a. € 549 p/m,2025 1 km Automaat Elektrisch,v.a. € 549 p/m,Van Poelgeest Amersfoort
BMW i4,eDrive40 M Sport Edition,€ 72.753 v.a. € 643 p/m,2025 1 km Automaat Elektrisch,v.a. € 643 p/m,Van Poelgeest Heemstede
